,tourney_name,tourney_date,round,minutes,score,winner_name,loser_name,NBI,comeback_score,avg_set_margin,tiebreaks_count,lead_changes,bp_saved_ratio,bp_total
123,Roland Garros,19990524,F,172.0,1-6 2-6 6-4 6-3 6-4,Andre Agassi,Andrei Medvedev,0.48522218902074615,3,3.2,0,1,0.7352941176470589,34.0
124,Wimbledon,19770620,F,147.20000000000002,3-6 6-2 6-1 5-7 6-4,Bjorn Borg,Jimmy Connors,0.48497991903582915,2,3.2,0,3,0.625,0.0
125,Australian Open,20230116,SF,201.0,7-6(2) 6-4 6-7(6) 6-3,Stefanos Tsitsipas,Karen Khachanov,0.48107481004012626,0,1.75,2,2,0.5,16.0
126,Roland Garros,20100524,SF,207.0,6-3 3-6 5-7 6-3 6-3,Robin Soderling,Tomas Berdych,0.48099054611685027,2,2.8,0,2,0.6,25.0
127,US Open,19750827,SF,150.4,4-6 1-6 6-2 7-5 6-4,Manuel Orantes,Guillermo Vilas,0.4807199799368223,3,3.0,0,1,0.625,0.0
128,Australian Open,20230116,F,176.0,6-3 7-6(4) 7-6(5),Novak Djokovic,Stefanos Tsitsipas,0.4796984653803466,0,1.6666666666666667,2,0,0.625,8.0
129,Roland Garros,19700525,SF,163.20000000000002,6-4 4-6 1-6 7-5 7-5,Zeljko Franulovic,Cliff Richey,0.47937204744016615,2,2.6,0,2,0.625,0.0
130,Roland Garros,20050523,SF,209.0,6-3 5-7 2-6 6-4 6-4,Mariano Puerta,Nikolay Davydenko,0.4788733671988389,2,2.6,0,2,0.4166666666666667,24.0
131,Wimbledon,20250630,SF,169.0,6-4 5-7 6-3 7-6(6),Carlos Alcaraz,Taylor Fritz,0.4776269837881935,0,2.0,1,2,0.5555555555555556,9.0
132,Wimbledon,19710621,F,156.8,6-3 5-7 2-6 6-4 6-4,John Newcombe,Stan Smith,0.47720010173880867,2,2.6,0,2,0.625,0.0
133,US Open,20190826,F,290.0,7-5 6-3 5-7 4-6 6-4,Rafael Nadal,Daniil Medvedev,0.4770591199711621,1,2.2,0,2,0.6944444444444444,36.0
134,Wimbledon,19700622,F,144.0,5-7 6-3 6-2 3-6 6-1,John Newcombe,Ken Rosewall,0.4725731914681693,2,3.4,0,3,0.625,0.0
135,Roland Garros,19700525,SF,144.0,2-6 6-2 5-7 6-2 6-3,Jan Kodes,Georges Goven,0.4725731914681693,2,3.4,0,3,0.625,0.0
136,US Open,20120827,F,294.0,7-6(10) 7-5 2-6 3-6 6-2,Andy Murray,Novak Djokovic,0.4706487663280116,1,2.8,1,2,0.5151515151515151,33.0
137,Roland Garros,19720522,SF,137.6,4-6 6-3 6-1 2-6 6-3,Andres Gimeno,Alex Metreveli,0.4704012457668118,2,3.4,0,3,0.625,0.0
138,Australian Open,19880111,F,166.4,6-3 6-7 3-6 6-1 8-6,Mats Wilander,Pat Cash,0.46913726557386387,2,2.8,0,2,0.625,0.0
139,Wimbledon,19980622,SF,202.0,6-3 6-4 5-7 6-7(5) 15-13,Goran Ivanisevic,Richard Krajicek,0.4670433990722559,1,2.0,1,2,0.2857142857142857,7.0
140,US Open,19800826,SF,160.0,6-4 5-7 0-6 6-3 7-6,John McEnroe,Jimmy Connors,0.4669653198725064,2,2.8,0,2,0.625,0.0
141,US Open,20200831,SF,176.0,6-2 7-6(7) 7-6(5),Dominic Thiem,Daniil Medvedev,0.4640388741853781,0,2.0,2,0,0.6666666666666666,18.0
142,Roland Garros,19950529,SF,115.2,6-4 7-6(5) 7-6(0),Michael Chang,Sergi Bruguera,0.46134636728421413,0,1.3333333333333333,2,0,0.5882352941176471,17.0
143,Roland Garros,20000529,F,224.0,6-2 6-3 2-6 7-6(6),Gustavo Kuerten,Magnus Norman,0.459326880389311,0,3.0,1,2,0.75,48.0
144,Australian Open,19821202,SF,182.4,7-6 7-6 4-6 3-6 7-5,Johan Kriek,Paul McNamee,0.4578375700788298,1,1.8,0,2,0.625,0.0
145,US Open,19730829,SF,163.20000000000002,7-5 6-7 1-6 6-1 7-5,Jan Kodes,Stan Smith,0.4567305380062039,2,3.0,0,2,0.625,0.0
146,US Open,20020826,SF,177.0,6-4 7-6(5) 6-7(1) 6-2,Andre Agassi,Lleyton Hewitt,0.45246509339100904,0,2.0,2,2,0.4444444444444444,27.0
147,Roland Garros,19800526,SF,150.4,6-1 3-6 6-7 6-2 6-4,Vitas Gerulaitis,Jimmy Connors,0.452386646603489,2,3.0,0,2,0.625,0.0
148,Roland Garros,20040524,F,211.0,0-6 3-6 6-4 6-1 8-6,Gaston Gaudio,Guillermo Coria,0.4516193792771864,3,3.6,0,1,0.42105263157894735,38.0
149,Wimbledon,20170703,SF,176.0,6-7(6) 6-4 7-6(3) 7-5,Marin Cilic,Sam Querrey,0.450944079228208,0,1.5,2,1,0.6470588235294118,17.0
150,US Open,20000828,SF,137.0,6-3 7-6(4) 7-6(1),Marat Safin,Todd Martin,0.4505813085176015,0,1.6666666666666667,2,0,0.5333333333333333,15.0
151,Wimbledon,20220627,F,181.0,4-6 6-3 6-4 7-6(3),Novak Djokovic,Nick Kyrgios,0.44883970374797233,0,2.0,1,1,0.7,10.0
152,Australian Open,20080114,F,185.0,4-6 6-4 6-3 7-6(2),Novak Djokovic,Jo-Wilfried Tsonga,0.44646006573892255,0,2.0,1,1,0.6470588235294118,17.0
